trait_combo,cc.r,cc.n,cc.p,original.r,original.n,original.p,imputed.r,imputed.n,imputed.p,order_name
annual_precip/annual_temp,0.549380652640267,173,4.88498130835069e-15,0.451654551082836,412,0,0.454474102449935,432,0,Apodiformes
annual_precip/precip_range,0.845547069645757,173,0,0.771669353674941,413,0,0.769638765598174,432,0,Apodiformes
annual_precip/temp_range,-0.785480770122867,173,0,-0.663431654797351,412,0,-0.660997966121872,432,0,Apodiformes
annual_temp/precip_range,0.598247652115346,173,0,0.524782946835707,412,0,0.525013783159896,432,0,Apodiformes
annual_temp/temp_range,-0.705960655255173,173,0,-0.597486517730168,412,0,-0.600778430509962,432,0,Apodiformes
precip_range/temp_range,-0.674805326736918,173,0,-0.422058405764646,412,0,-0.421163148557496,432,0,Apodiformes
