trait_combo,cc.r,cc.n,cc.p,original.r,original.n,original.p,imputed.r,imputed.n,imputed.p,order_name
body_mass/precipitation,0.116319846,152,0.153551612,0.179070513,602,9.86E-06,0.180945026,699,1.47E-06,Rodentia
body_mass/temperature,0.096143003,152,0.238686043,0.11926362,602,0.003383089,0.109447836,699,0.003765369,Rodentia
precipitation/temperature,0.516463074,161,2.34E-12,0.377599991,649,0,0.380940744,699,0,Rodentia
range/body_mass,-0.004222662,153,0.958685395,-0.00766696,608,0.850356949,-0.031007802,699,0.413053067,Rodentia
range/precipitation,-0.332988006,161,1.59E-05,-0.295900002,649,1.40E-14,-0.270085611,699,3.78E-13,Rodentia
range/temperature,-0.223428041,161,0.004385678,-0.173986994,649,8.28E-06,-0.165418842,699,1.10E-05,Rodentia
