trait_combo,cc.r,cc.n,cc.p,original.r,original.n,original.p,imputed.r,imputed.n,imputed.p,order_name
female_svl/largest_clutch,0.459204980401631,126,6.36082944094341e-08,0.493435216476779,611,0,0.472516260023748,921,0,Squamata
female_svl/latitude,0.205597579701963,137,0.0159430852810889,-0.0172738174746413,705,0.647044507286289,-0.0214740555891131,921,0.515121205209374,Squamata
female_svl/smallest_clutch,0.0976688506402742,126,0.276591802448225,0.365450454089433,611,0,0.358700709199783,921,0,Squamata
largest_clutch/latitude,0.0954994588176202,141,0.259964249185732,0.0778430289471131,731,0.0353579680240914,0.0385832853002217,921,0.242093449663898,Squamata
largest_clutch/smallest_clutch,0.40691327089626,141,5.52200397851976e-07,0.498447850797451,731,0,0.530970862750903,921,0,Squamata
latitude/smallest_clutch,-0.2637584882804,141,0.00157642169625682,-0.129125807409361,731,0.000465496668009546,-0.15705207215526,921,1.67203872081245e-06,Squamata
